"id","participant_id","age_group","gender","education_level","digital_usage","suspicious_confidence","qual1","qual2","qual3","qual4","cyber_training","submitted_at"
"1","CQ_69e0a780e7c9d8.63775195","25-34","Male","College / Sixth Form","Almost constantly","Very confident","The sender address and content of the email","Usually incompetency or lack of IT literacy. ","Whether I was expecting it or not.","If not expecting it I usually ignore, but it sometimes depends on who it was from, assuming the sender address is legitimate.","Yes, informal guidance","2026-04-16 09:13:16"
"2","CQ_69ea1d986e0a06.73371748","35-44","Female","Undergraduate degree","Several times a day","Moderately confident","Strange email address or the content being sent.","They don't read what's on the screen and technical literacy","The source and the content","Quick read of the content, check the email address and whether or not I'm expecting it.","No","2026-04-23 13:27:46"
"3","CQ_69eb426a73fa27.86993727","45-54","Male","Postgraduate degree","Almost constantly","Very confident","A","A","A","A","Yes, formal training","2026-04-24 10:16:25"
"4","CQ_69eb568b9a13e4.29231270","35-44","Male","Postgraduate degree","Several times a day","Moderately confident","Bad spelling, appearing out of nowhere without prior reason to, psychological pressures within the message. ","Often due to convenience or possibly due to lack of knowledge.  ","Email address and information within the message is consistent with others from a trusted organisation, when it seems plausible to receive a message, when a message is sent in response to an actual event. ","If I have seen that the information seems legitimate and appears to have come from a reputable person or organisation and that the details all 'line up'","Yes, formal training","2026-04-24 11:45:51"
"5","CQ_69eb5988dd8131.07055146","25-34","Female","College / Sixth Form","Almost constantly","Very confident","Things asking you to follow a link, asking for bank details, a slight variation in the email ","Pressure, stress, over confidence ","Expected email, not asking to follow a link, asking you to contact them so you can go through security questions etc","The body of the email and what it is asking","No","2026-04-24 11:56:21"
"6","CQ_69eb5a15ca76b5.64671912","25-34","Male","Undergraduate degree","Almost constantly","Very confident","Unexpected messages / e-mails, those with links are even more so suspicious. E-mails claiming to be from one party but the e-mail address being something different. ","Attackers / bad actors only need to get a very small percentage of their target pool to click / take action. They can cast very wide nets and see who gets tricked, their targets need to be right 100% of the time to not become a victim.","For most services, if it isn't already flagged as spam I'm more likely to take the time to read it, and from there it depends on if I know the person / company and if it reads as a legitimate message or something likely spammy.","By default I ignore, I'll only reply if the message seems legitimate and actually needs a reply. If in doubt and I know who the person is I'll contact them through another channel to confirm that they tried to reach me.","Yes, formal training","2026-04-24 12:00:59"
"7","CQ_69eb5b6df2ba88.75091842","35-44","Female","Secondary school or equivalent","Almost constantly","Moderately confident","too good to be true emails. Dodgy emails.","Lack of understanding ","Email address and content. Not asking for payment/money","Type of message and who it is from. If I am unsure I will google to check on scams etc.","No","2026-04-24 12:04:20"
"8","CQ_69eb5eb35f8b01.14387154","25-34","Male","Secondary school or equivalent","Almost constantly","Moderately confident","Vague, strange wording, weird email address. Just different from emails you get regularly from people you know. ","Mental fatigue, laps in concentration, lack of training or knowing what to look out for ","Knowing the email address. Them not asking me for something â€˜out of the normâ€™. Usually visually the format tends to look â€˜offâ€™. ","If in doubt. Iâ€™ll ignore it or contact the person directly if I know them to check its validity. ","Yes, informal guidance","2026-04-24 12:18:30"
"9","CQ_69eb5bdd678522.83480570","45-54","Male","Postgraduate degree","Several times a day","Very confident","Unexpected message or request
Unusual message or request
Urgency
Unknown sender
Embedded URLs
Sender ID (e.g. e-mail address) not fitting purported sender","Lack of experience and technical knowledge
Wrong assessment of online context
Misidentification
Tiredness/hurriedness/stress
","Triggered by my own actions
Trusted sender and correct ID
","Relevance to me
Trustworthiness
Time availability","Yes, formal training","2026-04-24 12:18:31"
"10","CQ_69eb6410df1c16.20235651","25-34","Female","College / Sixth Form","Several times a day","Moderately confident","Weird email
Badly written/spelt words","Because they are naive and think everything the see is real. Have no online safety skills. ","Correct grammar & English. The way it looks in general, if it looks gaudy and flashy then it's probably fake. ","How it came up, if it comes up as a separate website. ","Unsure","2026-04-24 12:48:18"
